Algorithm,Memory Size,Trace File,Execution Time (s),Output File
2Lists,5,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0022597312927246094,./output/output_aleatorio_2Lists_5.csv
2Lists,5,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0029077529907226562,./output/output_altaFrequencia_2Lists_5.csv
2Lists,10,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.0026788711547851562,./output/output_localidade_2Lists_10.csv
2Lists,10,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.005151033401489258,./output/output_aleatorio_2Lists_10.csv
2Lists,10,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.002376556396484375,./output/output_altaFrequencia_2Lists_10.csv
2Lists,20,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.0027475357055664062,./output/output_localidade_2Lists_20.csv
2Lists,20,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.003676176071166992,./output/output_aleatorio_2Lists_20.csv
2Lists,20,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0028612613677978516,./output/output_altaFrequencia_2Lists_20.csv
2Lists,25,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.0030989646911621094,./output/output_localidade_2Lists_25.csv
2Lists,25,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0024747848510742188,./output/output_aleatorio_2Lists_25.csv
2Lists,25,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0024466514587402344,./output/output_altaFrequencia_2Lists_25.csv
2Lists,40,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.0025386810302734375,./output/output_localidade_2Lists_40.csv
2Lists,40,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.002153635025024414,./output/output_aleatorio_2Lists_40.csv
2Lists,40,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.00228118896484375,./output/output_altaFrequencia_2Lists_40.csv
2Lists,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.0026056766510009766,./output/output_localidade_2Lists_50.csv
2Lists,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0024194717407226562,./output/output_aleatorio_2Lists_50.csv
2Lists,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.00231170654296875,./output/output_altaFrequencia_2Lists_50.csv
